category;name;type;default;values_min;max;remark
System Processing;daemon;Boolean;off;;;When Motion is started, immediately go to daemon mode and release the terminal. 
System Processing;process_id_file;String;;;;Specify the full path and file name in order to store the pid for processing. 
System Processing;setup_mode;Boolean;off;;;In setup mode two things happen: It outputs a lot of useful information for each frame from the camera. When you look at the webcam stream you see a black image with numbers. What you see is the number of changed pixels, number of labeled areas and noise setting. When something moves you see the pixels detected as Motion in black and white. The largest labeled area (assuming despeckle is enabled and with the 'l' at the end) is blue. It is only the blue areas which is counted as Motion. If smartmask is enabled you see this as red areas.
System Processing;logfile ;String;;;;Use this option to specify the full path and filename to use for logging of the messages generated from Motion. If this option is not defined, the stderr and syslog is used. Note that Motion can generate a LOT of messages and as a result, this option should be considered if the log_level is at any of the higher levels.
System Processing;log_level ;Integer;6;1;6;This option specifies the level of verbosity of the messages sent from Motion. At a level of 8(DBG), there are a LOT of messages. At a level of 1(EMR) virtually no messages will be output.
System Processing;log_type;String;all;COR,STR,ENC,NET,DBL,EVT,TRK,VID,ALL;;The different components of Motion use different log types. This option allows the user to only show the messages from particular components.
System Processing;camera;String;;;;The full path and file name for the camera file. Motion allows for this line to be listed in the motion.conf file multiple times. These specifications should be the LAST lines in the motion.conf file. 
System Processing;camera_id ;Integer;;;;This option is useful for situations where there are multiple cameras being used by Motion. This option allows for the assignment of a numeric id number that can be used in database queries as well as format specifiers. 
System Processing;camera_name;String;;;;This option specifies a camera name to be used in the format specifiers as well as on the web interface. 
System Processing;camera_dir ;String;;;;This option specifies a directory to contain the individual camera configuration files. Any files ending in '.conf' in this directory will be read as a camera config file. Users can disable a camera (config file) by renaming it so it does not end with '.conf'.
Video4Linux Device;videodevice;String;/dev/video0;;;The video device to be used for capturing. Default is /dev/video0. See the Basic Setup section of this guide for an additional discussion of this option. 
Video4Linux Device;v4l2_palette;String;17;0;21;The v4l2_palette allows the user to choose a palette to be use by Motion. This is only the preferred option. If the video device does not support this preferred format, Motion will loop through the available palettes to try to find one that is supported by both Motion and the device. Motion will report the supported palettes of the device when Motion starts when the log_level is specified as NTC or higher. 
Video4Linux Device;tunerdevice;Integer;1;-1;7;Input channel to use expressed as an integer number starting from 0. This option should normally be set to 1 for video/TV cards, and -1 for USB cameras. This parameter is used only with video capture cards that have more than one input. If you set the input number to values other than -1 USB cameras Motion will report an error message back. For video capture cards with tuners or multiple inputs such as S-VHS or Composite you may need to use this option to specify the correct input for the camera.
Video4Linux Device;norm;Integer;0;0;3;Select the video norm of the device. Values: 0 (PAL), 1 (NTSC), 2 (SECAM), 3 (PAL NC no colour). Default: 0 (PAL) This value is only used for capture cards using the BTTV driver. 
Video4Linux Device;frequency;Integer;-1;-1;3;This option allows the user to specify the power line frequency that is applicable to the user. This option can help stabilize the images of some webcams that are sensitive to this frequency. This is not normally necessary. 
Video4Linux Device;auto_brightness;Boolean;off;;; You need to know if the camera supports auto brightness. Most cameras have auto everything. If your video device already does this for you this option might cause oscillations. If you do not know assume that it has and do not use the Motion auto brightness feature. At least not to start with. 
Video4Linux Device;brightness;Integer;0;0;255;The brightness level for the video device. Value 0 means that Motion does not set the brightness value but leaves it unchanged. If this setting is used in conjunction with the auto_brightness feature then this setting is the average brightness level in the range 1 (dark) to 255 (bright) that the auto_brightness feature will try to achieve by adjusting the device brightness up and down. 
Video4Linux Device;contrast;Integer;0;0;255;The contrast level for the video device. Disabled (Value 0) means that Motion does not set the contrast value. 
Video4Linux Device;saturation;Integer;0;0;255;The color saturation level for the video device. 
Video4Linux Device;hue;Integer;0;0;255;The hue level for the video device. 
Video4Linux Device;roundrobin_frames;Integer;1;1;2147483647;Round Robin is not relevant for Network cameras or standard USB web cameras. It is used with video capture cards which have multiple inputs per video chip. This is not the ideal way to run multiple cameras. 
Video4Linux Device;roundrobin_skip ;Integer;1;1;2147483647;Specifies the number of frames to skip after a switch. (1 if you are feeling lucky, 2 if you want to be safe). The Round Robin feature is automatically activated where multiple cameras are sharing the same video device.
Video4Linux Device;switchfilter;Boolean;off;;;Turns the switch filter on or off. The filter can distinguish between most switching noise and real motion. With this you can even set roundrobin_skip to 1 without generating much false detection. This is a round robin related feature used when you have a capture card with multiple inputs (controlled by the 'input' option) on the same videodevice. 
Network Cameras;netcam_url;String;;;;URL to use if you are using a network camera, size will be autodetected. Available prefixes to the URL: http://, ftp://, mjpg://, rtsp://, rtmp://, mjpeg://, file://, v4l2://
Network Cameras;netcam_highres;String;;;;The network camera high resolution URL. This option can be used in conjunction with the netcam_url for rtsp/rtmp cameras. Users may specify the normal resolution url in the netcam_url which will be used for the motion detection and then specify the high resolution url for this parameter. Motion detection on the normal resolution will trigger the saving of images from the high resolution stream. 
Network Cameras;netcam_userpass;String;;;;The Username and password for the network camera. For http protocols, this option is for HTTP 1.1 Basic authentication only. The string is specified as username:password. To use no authentication simply remove this option. Digest authentication is only available for rtsp/rtmp cameras.
Network Cameras;netcam_keepalive;String;;off,force,on;;The setting for keep-alive of network socket, should improve performance on compatible net cameras (force: Use HTTP/1.0 requests, on: Use HTTP/1.1 requests ). Motion will ignore this option for rtsp/rtmp cameras.
Network Cameras;netcam_proxy;String;;;;"URL to use for a netcam proxy server, if required. The syntax is http://myproxy:portnumber Use this if you need to connect to a network camera through a proxy server. Example of syntax: ""http://myproxy.mydomain.com:1024 If the proxy port number is 80 you can omit the port number. Then the syntax is use ""http://myproxy.mydomain.com"" . "
Network Cameras;netcam_tolerant_check;String;;;;Use less strict jpeg checks for network cameras. Motion will ignore this option for rtsp/rtmp cameras. 
Network Cameras;rtsp_uses_tcp;Boolean;on;;;This option specifies the transport method for rtsp/rtmp cameras. The TCP transport is highly preferred because without this option the rtsp/rtmp images are frequently corrupted and result in many false positive values and images that appear to be smeared. Off indicates that UDP will be used. 
Raspberry Pi Camera;mmalcam_name;String;;;;"Name of camera to use if you are using a camera accessed through OpenMax/MMAL. The standard Raspberry Pi camera device name is ""vc.ril.camera"" without the quotes. Motion will ignore this option when the MMAL support is not included. In these situations, users will need to use the modprobe method of setting up the camera as a v4l2 device."
Raspberry Pi Camera;mmalcam_control_params;String;;;;This option allows the user to specify control parameters to the Pi camera. The documentation of all of the options available to the Raspberry Camera module is beyond the scope of this guide. Motion will ignore this option when the MMAL support is not included. In these situations, users will need to use the modprobe method of setting up the camera as a v4l2 device. 
Image Processing;rotate;String;0;0,90,180,270;;Rotate image the given number of degrees. The rotation affects all saved images as well as movies. The rotation feature is used when the camera is hanging upside down (180 degrees) or if you choose a picture format in portrait instead of the normal landscape (90 or 270 degrees). Note that the CPU load increases when using this feature with a value other than 0. Also note that Motion automatically swaps width and height if you rotate 90 or 270 degrees, so you don't have to touch these options.
Image Processing;flip_axis;String;none;none,v,h;;Flip the image according to specified axis. The flip affects all saved images as well as movies. The flip feature is used when the camera is pointed towards a mirror or provides itself a mirrored image (as found in some cars). Note that the CPU load increases when using this feature with a value other than none.
Image Processing;width;Integer;352;;;The width in pixels of each frame. Valid range is camera dependent. For all devices, the width must be a multiple of 8. Motion does not scale v4l2 devices and http netcams so the value should be set to the actual size of the image provided by the device. In case of a rtsp/rtmp network camera, Motion will rescale the camera image to the requested dimensions. 
Image Processing;height;Integer;288;;;The height in pixels of each frame. Valid range is camera dependent. For all devices, the height must be a multiple of 8. Motion does not scale v4l2 devices and http netcams so the value should be set to the actual size of the image provided by the device. In case of a rtsp/rtmp network camera, Motion will rescale the camera image to the requested dimensions. 
Image Processing;framerate;Integer;100;2;100;Maximum number of frames to be captured from the camera per second. The faster you fetch pictures from the camera the more CPU load you get and the more pictures get included when Motion is detected. Motion will stop storing pictures if the framerate is set to less than 2. Set this parameter to the maximum number of images per second that you want to store either as images or movies. To set intervals longer than one second use the 'minimum_gap' option instead.
Image Processing;minimum_frame_time;Integer;0;0;2147483647;Minimum time in seconds between the capturing picture frames from the camera. Default: 0 = disabled - the capture rate is given by the camera framerate. This option is used when you want to capture images at a rate lower than 2 per second. When this is enabled the framerate option is used only to set the pace the Motion service the webcam port etc. 
Image Processing;despeckle_filter;String;;;;Despeckle motion image using combinations of (E/e)rode or (D/d)ilate. And ending with optional (l)abeling. A way of tuning (by removing or enhancing) noise in the motion image. Options for the despeckle feature are any of 'e', 'E', 'd' or 'D'. This can be combined by a trailing 'l' (letter l) which enables the labeling feature. 
Image Processing;locate_motion_mode;String;off;on,off,preview;;Locate and draw a box around the moving object. Value 'preview' makes Motion only draw a box on a saved preview jpeg image and not on the saved movie. 
Image Processing;locate_motion_style;String;;box,redbox,cross,redcross;;Set the look and style of the locate box if enabled. 
Image Processing;text_left;String;;;;User defined text overlaid on each in the lower left corner (YYYY-MM-DD HH:MM:SS). If the option is not defined no text is displayed at this position. By combining spaces and new lines '\n' you can place your text anywhere on the picture. When setting the text using http remote control the text must be URL encoded. 
Image Processing;text_right;String;%Y-%m-%d\n%T;;;User defined text overlaid on each in the lower right corner (YYYY-MM-DD HH:MM:SS). If the option is not defined no text is displayed at this position. By combining spaces and new lines '\n' you can place your text anywhere on the picture. When setting the text using http remote control the text must be URL encoded. 
Image Processing;text_changes;Boolean;off;;;Turns the text showing changed pixels on/off. By setting this option to 'on' the number of pixels that changed compared to the reference frame is displayed in the upper right corner of the pictures. This is good for calibration and testing. This is how the overlaid text is located. 
Image Processing;text_event;String;%Y%m%d%H%M%S;;;This option is special in that it defines the conversion specifier %C which can be used both for text display and for filenames. This option defines the value of the special event conversion specifier %C. You can use any conversion specifier in this option except %C. Date and time values are from the timestamp of the first image in the current event. The idea is that %C can be used filenames and text_left/right for creating a unique identifier for each event. Option text_event defines the value %C which then can be used in filenames and text_right/text_left. The text_event/%C uses the time stamp for the first image detected in a new event. %C is an empty string when no event is in progress (gap period expired). Pre_captured and minimum_motion_frames images are time stamped before the event happens so %C in text_left/right does not have any effect on those images. 
Image Processing;text_double;Boolean;off;;;Draw characters at twice normal size on images. This option makes the text defined by text_left, text_right and text_changes twice the normal size. This may be useful when using large picture formats such as 1280 x 720. 
Motion Detection;emulate_motion;Boolean;off;;;Always save images even if there was no motion.
Motion Detection;threshold;Integer;1500;1;2147483647;Threshold for declaring motion. The threshold is the number of changed pixels counted after noise filtering, masking, despeckle, and labelling. The 'threshold' option is the most important detection setting. When motion runs it compares the current image frame with the previous and counts the number of changed pixels after having processed the image with noise filtering, masking, despeckle and labeling. If more pixels than defined by 'threshold' have changed we assume that we have detected motion. Set the threshold as low as possible so that you get the motion you want detected but large enough so that you do not get detections from noise and plants moving. Note that the larger your frames are, the more pixels you have. So for large picture frame sizes you need a higher threshold. Use the -s (setup mode) command line option and/or the text_changes config file option to experiment to find the right threshold value. If you do not get small movements detected (see the mouse on the kitchen floor) lower the value. If motion detects too many birds or moving trees, increase the number. (Unless of course you are one of the many many users who use Motion to bird watch!) Practical values would be from a few hundred to thousands. 
Motion Detection;threshold_tune;Boolean;off;;;Activate the automatic tuning of threshold level. This feature makes Motion continuously adjust the threshold for declaring motion. The threshold setting is ignored when activating this feature. It may give different results depending on your camera, light conditions, indoor/outdoor, the motion to be detected etc. If it does not work well, deactivate the 'threshold_tune' option and use the manual setting of threshold instead.
Motion Detection;noise_level;Integer;32;1;255;The noise level is used as a threshold for distinguishing between noise and motion. This is different from the threshold parameter. This is changes at pixel level. The purpose is to eliminate the changes generated by electric noise in the camera. Especially in complete darkness you can see the noise as small grey dots that come randomly in the picture. This noise can create false motion detection. What this parameter means is that the intensity of a pixel must change more than +/- the noise threshold parameter to be counted. 
Motion Detection;noise_tune;Boolean;on;;;Activates the automatic tuning of noise level. This feature makes Motion continuously adjust the noise threshold for distinguishing between noise and motion. The 'noise_level' setting is ignored when activating this feature. It may give different results depending on camera and light conditions. 
Motion Detection;area_detect;String;;;;"Detect motion in predefined areas (1 - 9) and when Motion is detected in the area, execute the script. All of motion detection still continue. This option is only to execute the on_area_detect script. Areas are numbered like: ""1 2 3""."
Motion Detection;mask_file;String;;;;The full path and filename for the masking pgm file. If needed, the mask will be resized to match the width and height of the frames being captured. If you have one or more areas of the camera image in which you do NOT want motion detected (e.g. a tree that moves in the wind or a corner of the picture where you can see cars/pedestrians passing by) you need a mask file.
Motion Detection;mask_privacy;String;;;;The full path and filename for the privacy masking pgm file. This file works like the mask_file as described above. The difference with this parameter is that while the mask_file excludes the section from detecting motion, this file excludes the section of the image completely. 
Motion Detection;smart_mask_speed;Integer;0;0;10;Speed for the smart mask. Default is 0 = DISABLED. 1 is slow, 10 is fast. Smartmask is a dynamic, self-learning mask. Smartmask will disable sensitivity in areas with frequent motion (like trees in the wind).
Motion Detection;lightswitch;Integer;0;0;100;Ignore sudden massive light intensity changes given as a percentage of the picture area that changed intensity. The value defines the picture areas in percent that will trigger the lightswitch condition. When lightswitch is detected motion detection is disabled for 5 picture frames. This is to avoid false detection when light conditions change and when a camera changes sensitivity at low light. 
Motion Detection;minimum_motion_frames;Integer;1;0;1000;Picture frames must contain motion at least the specified number of frames in a row before they are detected as true motion. At the default of 1, all motion is detected. Valid range is 1 to thousands, but it is recommended to keep it within 1-5. Note that the picture frames are buffered by Motion and once motion is detected also the first frames containing motion are saved so you will not miss anything. The feature is used when you get many false detections when the camera changes light sensitivity or light changes. Even though Motion accepts large values you should set this to a relatively low number (below 10).
Motion Detection;event_gap;Integer;60;0;2147483647;The seconds of no motion detection that triggers the end of an event. An event is defined as a series of motion images taken within a short timeframe. The value -1 is allowed and disables events causing all Motion to be written to one single movie file and no pre_capture. If set to 0, motion is running in gapless mode. An event ends right after no more motion is detected and post_capture is over. 
Script Execution;on_event_start ;String;;;;The full path and file name of the program/script to be executed at the start of an event. An event starts at first motion detected after a period of no motion defined by gap. 
Script Execution;on_event_end;String;;;;The full path and file name of the program/script to be executed when a event ends. An event ends after the event_gap has expired. 
Script Execution;on_picture_save;String;;;;The full path and file name of the program/script to be executed when a picture is saved. Use %f for passing filename (with full path) to the command. 
Script Execution;on_motion_detected;String;;;;The full path and file name of the program/script to be executed when motion is detected. 
Script Execution;on_area_detected;String;;;;The full path and file name of the program/script to be executed when motion is detected in the predefined area indicated in the area_detect option. Use %f for passing filename (with full path) to the command. 
Script Execution;on_movie_start;String;;;;The full path and file name of the program/script to be executed when a new movie is being created.
Script Execution;on_movie_end;String;;;;The full path and file name of the program/script to be executed after a new movie was created. Use %f for passing filename (with full path) to the command.
Script Execution;on_camera_lost;String;;;;"The full path and file name of the command to be executed when a camera can't be opened or if it is lost.
Note that there are situations when motion doesn't detect a lost camera. It is dependent upon the camera and driver and it is advised that this option be tested for each configuration. It has also been observed that there are also situations in which the disconnection of the camera even hangs the PC in which case this script will not be executed."
Script Execution;on_camera_found;String;;;;The full path and file name of the command to be executed when a lost camera is found If motion fails to detect a lost camera, it will also fail to know it found one.
Output - General Options;quiet;Boolean;off;;;Be quiet, don't output beeps when detecting motion. Only works in non-daemon mode.
Output - General Options;pre_capture;Integer;0;0;100;Specifies the number of pre-captured (buffered) pictures from before motion was detected that will be output at motion detection. The recommended range is 0 to 5. It is not recommended to use large values. Large values will cause Motion to skip video frames and cause unsmooth movies.
